aX,aY,aZ,gX,gY,gZ
-607.00,-1728.00,15460.00,-535.00,-858.00,346.00
-535.00,-1439.00,14579.00,-841.00,-173.00,240.00
1217.00,45.00,13272.00,-832.00,-34.00,49.00
1957.00,-30.00,13429.00,-799.00,-133.00,-157.00
1835.00,-363.00,13695.00,-1042.00,-501.00,-157.00
616.00,-704.00,13195.00,-1292.00,-585.00,-24.00
579.00,-1009.00,12580.00,-1611.00,2.00,212.00
2485.00,-276.00,11844.00,-1585.00,558.00,383.00
3378.00,194.00,11537.00,-1475.00,934.00,595.00
2678.00,444.00,10915.00,-1566.00,692.00,632.00
2285.00,-357.00,11099.00,-1781.00,405.00,639.00
2026.00,-624.00,11358.00,-1711.00,518.00,628.00
2006.00,-359.00,11123.00,-1871.00,676.00,629.00
2138.00,-188.00,10476.00,-2366.00,787.00,623.00
1506.00,485.00,7827.00,-2539.00,706.00,650.00
1198.00,756.00,6209.00,-2555.00,591.00,582.00
1481.00,621.00,4481.00,-2099.00,63.00,10.00
2748.00,-341.00,4137.00,-2019.00,-596.00,-150.00
2233.00,-496.00,4520.00,-1875.00,-911.00,-4.00
498.00,-882.00,3729.00,-1733.00,-694.00,80.00
67.00,-737.00,3393.00,-1692.00,-518.00,160.00
-253.00,-905.00,2489.00,-1244.00,341.00,494.00
-406.00,-1954.00,1232.00,-949.00,816.00,721.00
-322.00,-2081.00,1079.00,-684.00,1111.00,807.00
-619.00,-1905.00,-155.00,-566.00,935.00,604.00
-901.00,-1780.00,-1147.00,-19.00,516.00,9.00
-1022.00,-1727.00,-2080.00,417.00,400.00,-257.00
-1194.00,-2120.00,-2421.00,911.00,349.00,-389.00
-1078.00,-2298.00,-1801.00,1660.00,279.00,-216.00
-1684.00,-2600.00,751.00,1863.00,227.00,-114.00
-3726.00,-2978.00,3695.00,1819.00,-1049.00,-135.00
-2039.00,-2559.00,4705.00,1596.00,-1814.00,-379.00
-1455.00,-1547.00,3964.00,1442.00,-1323.00,-612.00
-1897.00,-965.00,3059.00,1773.00,355.00,-966.00
710.00,-944.00,3966.00,2095.00,670.00,-1061.00
1611.00,-1022.00,8453.00,2187.00,197.00,-675.00
3703.00,583.00,6623.00,1834.00,-1436.00,-533.00
3149.00,295.00,5470.00,1805.00,-1448.00,-347.00
2535.00,235.00,5845.00,2058.00,1079.00,266.00
2059.00,1448.00,5996.00,2039.00,1469.00,382.00
