aX,aY,aZ,gX,gY,gZ
508.00,5.00,9315.00,605.00,-1163.00,2804.00
550.00,371.00,9003.00,19.00,-1512.00,3336.00
952.00,829.00,8558.00,-213.00,-1531.00,3774.00
932.00,1061.00,8396.00,-777.00,-1602.00,4605.00
-450.00,1571.00,8092.00,-1168.00,-1603.00,4643.00
-2191.00,1052.00,8631.00,-1594.00,-1365.00,4457.00
-3577.00,-138.00,9600.00,-2159.00,-548.00,4135.00
-2865.00,-2105.00,10895.00,-2299.00,-330.00,3924.00
-2072.00,-2068.00,10662.00,-2821.00,-384.00,3322.00
-1387.00,-818.00,9477.00,-3113.00,-565.00,3049.00
-1217.00,160.00,8921.00,-3264.00,-777.00,2793.00
-1051.00,598.00,8487.00,-3210.00,-910.00,2426.00
-1332.00,-905.00,8722.00,-3256.00,-806.00,2427.00
-1918.00,-2076.00,9349.00,-3733.00,-312.00,2723.00
-2824.00,-2834.00,9882.00,-4002.00,30.00,2668.00
-2895.00,-1916.00,9450.00,-4046.00,809.00,1665.00
-2891.00,192.00,7950.00,-3802.00,1159.00,835.00
-3331.00,97.00,7591.00,-3508.00,1428.00,3.00
-3568.00,-542.00,7782.00,-2733.00,1601.00,-1588.00
-2751.00,-1134.00,8569.00,-2476.00,1692.00,-1932.00
-1882.00,-1123.00,8865.00,-1850.00,2228.00,-2218.00
-913.00,-221.00,8217.00,-1468.00,2508.00,-2493.00
-1074.00,440.00,7378.00,-1067.00,2595.00,-2884.00
-1390.00,761.00,6727.00,-59.00,2642.00,-3344.00
-1874.00,1124.00,6714.00,524.00,2921.00,-3307.00
-1650.00,1217.00,6734.00,1511.00,3520.00,-3739.00
-754.00,490.00,7366.00,1984.00,3738.00,-3699.00
-488.00,260.00,8142.00,2402.00,3939.00,-3418.00
-215.00,100.00,8830.00,2984.00,4025.00,-2824.00
389.00,46.00,9010.00,3167.00,3681.00,-2638.00
626.00,600.00,8384.00,3448.00,2342.00,-2370.00
1499.00,1548.00,7904.00,3726.00,1582.00,-2481.00
2653.00,437.00,8735.00,3919.00,940.00,-2616.00
3209.00,-1072.00,9765.00,3646.00,736.00,-1632.00
1893.00,-1753.00,10802.00,3353.00,765.00,-869.00
1066.00,-1086.00,10472.00,2828.00,61.00,-347.00
993.00,254.00,9107.00,2687.00,-332.00,-392.00
1251.00,619.00,8498.00,2680.00,-452.00,-364.00
1416.00,486.00,8168.00,2886.00,-147.00,146.00
1733.00,-378.00,8486.00,2888.00,-145.00,500.00
1939.00,-593.00,8903.00,2646.00,-853.00,1001.00
2147.00,-404.00,9641.00,2456.00,-1161.00,1326.00
1703.00,-309.00,9998.00,2234.00,-1175.00,1793.00
968.00,-271.00,10133.00,1705.00,-804.00,2625.00
618.00,-43.00,9596.00,1400.00,-726.00,2843.00
998.00,-45.00,9322.00,801.00,-400.00,3340.00
735.00,-1015.00,9472.00,522.00,-250.00,3634.00
161.00,-1410.00,9641.00,218.00,-338.00,3834.00
-688.00,-1321.00,9649.00,-562.00,-937.00,3783.00
-2187.00,-498.00,9225.00,-920.00,-1115.00,3601.00
-2508.00,-287.00,8950.00,-1530.00,-982.00,3444.00
-2155.00,-432.00,8966.00,-1882.00,-924.00,3452.00
-1767.00,-529.00,9220.00,-2202.00,-969.00,3423.00
-1332.00,-446.00,9516.00,-2512.00,-953.00,3255.00
-1432.00,-590.00,10136.00,-2505.00,-661.00,3101.00
-2174.00,-749.00,10335.00,-2660.00,-150.00,2439.00
-3538.00,-913.00,10058.00,-2963.00,-106.00,2005.00
-3701.00,-445.00,9641.00,-3258.00,-32.00,1559.00
-3524.00,426.00,9093.00,-3267.00,705.00,570.00
-3241.00,2215.00,7808.00,-3015.00,1236.00,2.00
-3419.00,2528.00,7385.00,-2520.00,1844.00,-1094.00
-3361.00,1678.00,7921.00,-2220.00,1910.00,-1686.00
-2902.00,1617.00,8275.00,-1296.00,2183.00,-2854.00
-2413.00,1758.00,8393.00,-1045.00,2578.00,-2986.00
-2132.00,1756.00,8588.00,-779.00,3042.00,-3000.00
-2133.00,1895.00,8698.00,-337.00,3472.00,-3265.00
-1566.00,2158.00,8535.00,-169.00,3288.00,-3475.00
-1143.00,2283.00,8208.00,339.00,2815.00,-3661.00
-275.00,1722.00,7680.00,622.00,2701.00,-3499.00
52.00,1604.00,7218.00,925.00,2679.00,-3077.00
245.00,1764.00,6829.00,1587.00,2769.00,-1866.00
1428.00,1815.00,6946.00,1944.00,2821.00,-1406.00
1921.00,1370.00,7280.00,2617.00,3034.00,-503.00
1463.00,395.00,8028.00,2916.00,2856.00,-108.00
691.00,39.00,8256.00,3097.00,2245.00,65.00
177.00,-30.00,8293.00,3094.00,388.00,117.00
-717.00,835.00,8342.00,3072.00,-154.00,221.00
-1267.00,1100.00,8408.00,3100.00,-340.00,456.00
-1308.00,532.00,8825.00,3117.00,-278.00,579.00
-946.00,205.00,9358.00,3075.00,-162.00,757.00
-529.00,-90.00,9961.00,2662.00,171.00,1192.00
-140.00,-533.00,10407.00,2281.00,262.00,1428.00
-280.00,-736.00,10173.00,1517.00,30.00,2019.00
-938.00,-198.00,9615.00,1204.00,-291.00,2340.00
-1285.00,260.00,9553.00,867.00,-649.00,2625.00
-1566.00,549.00,9582.00,189.00,-1074.00,2936.00
-1719.00,673.00,9311.00,-120.00,-1094.00,3010.00
-1375.00,705.00,8981.00,-723.00,-1147.00,3287.00
-691.00,894.00,8369.00,-993.00,-1229.00,3523.00
-792.00,808.00,8349.00,-1217.00,-1394.00,3767.00
-1175.00,498.00,8642.00,-1635.00,-1797.00,4005.00
-2560.00,281.00,9432.00,-1833.00,-1834.00,3966.00
-3068.00,379.00,9559.00,-2302.00,-1336.00,3767.00
-3045.00,6.00,8990.00,-2583.00,-907.00,3697.00
-2858.00,-93.00,8611.00,-2877.00,-563.00,3652.00
-2638.00,-118.00,8318.00,-3387.00,-310.00,3463.00
