aX,aY,aZ,gX,gY,gZ
-0.726,-0.526,0.814,-55.786,55.115,-285.522
-0.702,-0.676,0.917,-101.624,39.917,-272.766
-0.645,-0.837,1.036,-115.662,27.344,-262.573
-0.579,-0.990,1.114,-99.670,22.644,-254.272
-0.479,-1.075,1.099,-69.336,21.301,-244.995
-0.407,-1.119,0.994,-32.593,24.109,-233.704
-0.353,-1.180,0.852,4.333,28.198,-221.069
-0.292,-1.234,0.701,33.386,28.381,-204.895
-0.275,-1.252,0.576,45.654,26.611,-184.143
-0.223,-1.252,0.543,46.326,21.240,-165.833
-0.188,-1.317,0.555,43.762,12.573,-151.184
-0.145,-1.377,0.624,32.776,4.822,-135.498
-0.107,-1.395,0.724,17.883,-0.916,-117.371
-0.050,-1.368,0.812,7.690,-3.235,-98.389
-0.029,-1.277,0.855,4.944,-4.150,-83.740
-0.018,-1.179,0.862,11.475,-3.906,-74.463
0.017,-1.108,0.842,21.362,-1.831,-60.547
0.031,-1.028,0.840,26.794,-1.343,-45.410
0.049,-0.952,0.843,29.907,-3.418,-35.828
0.060,-0.922,0.839,31.311,-3.601,-28.015
0.090,-0.905,0.840,26.672,-3.296,-22.217
0.106,-0.889,0.836,18.494,-2.930,-16.541
0.116,-0.871,0.814,11.536,-2.319,-10.315
0.126,-0.830,0.810,3.113,-2.563,-3.052
0.143,-0.791,0.831,-1.953,-3.845,2.930
0.152,-0.760,0.849,-1.282,-5.005,8.362
0.156,-0.743,0.865,1.343,-5.798,13.794
0.173,-0.715,0.870,3.418,-5.188,18.433
0.184,-0.693,0.842,6.958,-4.272,22.583
0.185,-0.655,0.803,9.460,-3.784,26.123
0.185,-0.648,0.778,10.925,-4.944,28.687
0.182,-0.671,0.774,9.827,-6.531,30.640
0.174,-0.691,0.777,4.456,-7.202,33.142
0.147,-0.736,0.769,-0.854,-7.141,36.621
0.123,-0.794,0.765,-5.066,-7.019,41.260
0.097,-0.819,0.770,-8.301,-7.935,48.279
0.067,-0.812,0.774,-7.751,-9.949,56.885
0.055,-0.801,0.778,-3.967,-12.146,65.918
0.053,-0.758,0.823,-1.343,-15.564,74.524
0.049,-0.714,0.867,2.136,-18.066,82.336
0.041,-0.672,0.887,5.249,-17.944,88.684

-0.511,-0.995,1.086,27.649,-0.732,-181.458
-0.405,-1.043,1.104,26.062,1.221,-172.119
-0.383,-1.139,1.116,23.743,0.671,-166.199
-0.297,-1.218,1.100,20.325,3.601,-158.325
-0.242,-1.284,1.068,14.709,6.775,-145.142
-0.208,-1.337,1.032,9.399,7.507,-130.371
-0.164,-1.365,1.016,6.226,9.521,-113.953
-0.126,-1.353,1.004,5.859,10.376,-95.154
-0.093,-1.312,1.021,7.874,8.118,-76.477
-0.056,-1.233,1.057,9.399,5.127,-59.326
-0.010,-1.140,1.079,12.024,5.737,-45.715
0.024,-1.059,1.070,18.555,8.179,-36.987
0.043,-0.989,1.029,23.743,10.315,-30.579
0.084,-0.910,0.973,24.231,15.076,-20.752
0.095,-0.835,0.928,17.395,16.235,-13.062
0.120,-0.783,0.897,9.949,16.357,-6.409
0.128,-0.757,0.872,3.967,16.296,-1.404
0.137,-0.748,0.835,0.244,14.954,2.380
0.133,-0.764,0.795,-1.465,13.184,6.653
0.138,-0.775,0.763,-1.770,9.705,12.329
0.135,-0.778,0.749,-3.052,5.371,19.104
0.128,-0.762,0.751,-4.456,1.587,26.611
0.124,-0.757,0.760,-4.395,-1.709,33.508
0.117,-0.744,0.784,-6.104,-3.479,41.626
