aX,aY,aZ,gX,gY,gZ
0.147,-0.078,0.408,28.564,-269.043,-31.616
0.113,-0.052,0.503,35.706,-267.517,-31.250
0.040,-0.096,0.544,39.795,-266.479,-33.081
0.034,-0.121,0.624,33.997,-262.878,-35.950
-0.146,-0.176,0.638,26.123,-264.343,-39.307
-0.194,-0.296,0.664,14.954,-263.916,-33.203
-0.237,-0.354,0.788,-6.104,-263.611,-23.132
-0.043,-0.395,0.988,-22.827,-266.052,-11.536
-0.221,-0.454,1.261,-25.757,-269.409,2.319
-0.017,-0.219,1.464,-8.362,-268.982,-15.381
-0.036,-0.248,1.401,38.696,-272.583,-2.869
0.032,-0.116,1.379,60.120,-242.554,-4.456
0.011,0.047,1.332,61.218,-229.309,-12.207
-0.080,-0.011,1.257,55.481,-224.854,-18.005
-0.164,-0.105,1.223,27.039,-214.172,-25.085
-0.264,-0.275,1.318,-8.057,-205.444,-24.170
-0.257,-0.406,1.536,-35.339,-202.209,-10.681
-0.197,-0.380,1.773,-44.617,-198.425,7.935
-0.113,-0.263,1.937,-26.306,-188.538,20.142
-0.016,-0.115,1.977,9.949,-174.255,20.691
0.058,-0.014,1.932,45.776,-158.264,10.132
0.135,0.074,1.817,73.303,-140.747,-3.479
0.160,0.101,1.661,67.505,-125.000,-9.766
0.153,0.094,1.519,36.865,-107.849,-13.855
0.113,0.003,1.447,6.470,-94.299,-15.198
0.046,-0.113,1.419,-17.029,-84.045,-13.672
-0.027,-0.195,1.401,-28.442,-76.477,-8.362
-0.049,-0.242,1.400,-28.137,-73.425,-1.343
-0.042,-0.186,1.411,-20.020,-71.899,5.005
0.013,-0.084,1.394,-7.507,-69.824,9.094
0.066,0.017,1.362,-1.465,-64.941,9.583
0.081,0.092,1.282,-6.836,-59.265,8.667
0.080,0.088,1.224,-17.578,-51.025,3.235
0.055,0.032,1.108,-26.978,-44.373,-1.587
0.026,-0.049,1.000,-34.180,-39.490,-3.479
-0.003,-0.096,0.914,-39.307,-37.598,-1.770
-0.022,-0.091,0.830,-39.368,-39.917,2.686
-0.011,-0.151,0.836,-36.621,-44.739,7.202
-0.425,-0.542,2.200,-143.738,-87.158,20.752
0.625,1.407,2.094,-541.321,-34.363,74.768
0.840,1.043,2.346,-429.504,65.247,45.166
-0.487,0.221,1.019,-15.076,85.876,-28.137
-0.075,0.281,0.819,-22.766,66.406,-51.331
0.050,0.255,0.970,-22.278,33.875,-12.451
0.044,0.326,0.986,-6.470,13.123,-0.061
0.071,0.381,0.932,-1.648,-0.183,-3.479
0.124,0.298,0.956,6.531,-16.174,-8.057
0.143,0.277,1.027,22.278,-29.297,-10.803
0.184,0.363,1.120,43.884,-33.569,-10.132
0.210,0.448,1.237,72.388,-30.701,-9.766
0.217,0.362,1.337,110.596,-20.874,-13.733
0.232,0.298,1.531,122.864,-2.502,-12.512
0.153,0.146,1.926,109.741,14.221,-3.174
0.101,0.315,2.097,55.847,15.198,4.517
0.128,0.434,2.376,22.217,33.142,5.066
0.041,0.364,2.505,26.489,56.885,-3.540
-0.062,0.294,2.568,27.222,77.759,-13.184
-0.089,0.221,2.647,15.747,94.727,-19.226
-0.096,0.135,2.699,10.010,112.549,-22.461
-0.114,0.067,2.705,10.254,132.202,-22.217
-0.139,0.041,2.664,14.343,154.358,-20.813
-0.166,0.031,2.545,22.400,176.636,-20.996

-0.253,0.021,2.270,25.818,219.360,-19.348
-0.286,0.022,2.117,17.273,239.014,-16.968
-0.339,-0.021,1.977,7.690,255.798,-14.832
-0.343,-0.022,1.834,-0.732,271.423,-11.902
-0.401,-0.032,1.678,-2.869,285.217,-8.301
-0.417,-0.088,1.520,0.977,296.448,-6.958
